symbol,interval,open_time,open,high,low,close,volume,turnover
ETHUSD,1,1609446600,739.9,739.9,739.25,739.25,270122,365.24291693000004
ETHUSD,1,1609446660,739.25,739.3,739.25,739.3,4794,6.48451272
ETHUSD,1,1609446720,739.3,739.85,739.3,739.85,267582,361.85794156000003
ETHUSD,1,1609446780,739.85,739.95,739.5,739.5,1030129,1392.3526467899999
ETHUSD,1,1609446840,739.5,740,739.45,740,831055,1123.3453833300002
ETHUSD,1,1609446900,740,740.4,739.95,740.4,1281547,1731.61731857
ETHUSD,1,1609446960,740.4,740.4,740.35,740.4,70845,95.6851549
ETHUSD,1,1609447020,740.4,740.7,740.35,740.7,1311534,1771.0213983399992
ETHUSD,1,1609447080,740.7,741.5,740.7,741.45,116894,157.7781473100002
ETHUSD,1,1609447140,741.45,741.5,741.1,741.15,65027,87.72994951999999
ETHUSD,1,1609447200,741.15,741.35,741.1,741.35,17008,22.948008419999997
ETHUSD,1,1609447260,741.35,741.35,741.1,741.1,21737,29.32594851000001
ETHUSD,1,1609447320,741.1,741.15,741.1,741.15,16190,21.84443101
ETHUSD,1,1609447380,741.15,741.15,740.65,740.65,16869,22.77220675
ETHUSD,1,1609447440,740.65,740.7,740.65,740.7,252154,340.44946823000004
ETHUSD,1,1609447500,740.7,741.1,740.65,741.1,121184,163.60225205999998
ETHUSD,1,1609447560,741.1,741.1,741.1,741.1,31364,42.32087433000001
ETHUSD,1,1609447620,741.1,741.1,740.75,740.8,85299,115.10941255000004
ETHUSD,1,1609447680,740.8,740.8,740.35,740.4,105653,142.65414964999994
ETHUSD,1,1609447740,740.4,740.4,740.3,740.3,210607,284.48872027
ETHUSD,1,1609447800,740.3,741.5,740.3,741.5,127125,171.57877565999996
ETHUSD,1,1609447860,741.5,741.65,741.25,741.4,81127,109.40783876999997
ETHUSD,1,1609447920,741.4,741.8,741.4,741.75,235300,317.27035141000005
ETHUSD,1,1609447980,741.75,742.6,741.75,742.6,315735,425.33599693999975
ETHUSD,1,1609448040,742.6,742.6,742.55,742.55,139798,188.25521773000003
ETHUSD,1,1609448100,742.55,743.15,742.55,743.15,74805,100.69906916999996
ETHUSD,1,1609448160,743.15,743.6,743.15,743.3,309242,415.9483893800001
ETHUSD,1,1609448220,743.3,743.3,743,743.05,326001,438.69648902000006
ETHUSD,1,1609448280,743.05,744.75,743,744.75,377488,507.39334804
ETHUSD,1,1609448340,744.75,745.3,744.7,745.3,507970,681.7248630500003
ETHUSD,1,1609448400,745.3,746.4,745.3,746.3,1173498,1572.9247985099992
ETHUSD,1,1609448460,746.3,746.3,744.65,744.65,258834,347.1185935000002
ETHUSD,1,1609448520,744.65,744.75,742.6,743.35,435736,585.8171218000001
ETHUSD,1,1609448580,743.35,744.65,743,744.6,516855,694.9047963900001
ETHUSD,1,1609448640,744.6,744.6,743.85,744.05,114248,153.51076899
ETHUSD,1,1609448700,744.05,744.1,741.85,742.1,597528,804.7881643599994
ETHUSD,1,1609448760,742.1,742.75,742.05,742.05,731033,984.8062431399999
ETHUSD,1,1609448820,742.05,743,742,743,120556,162.4038153999999
ETHUSD,1,1609448880,743,743,742.5,743,111121,149.61858004000007
ETHUSD,1,1609448940,743,743.2,742.6,743.2,267914,360.67326283
ETHUSD,1,1609449000,743.2,743.2,743.1,743.1,23043,31.007605420000004
ETHUSD,1,1609449060,743.1,743.2,743.1,743.15,49915,67.16581152
ETHUSD,1,1609449120,743.15,743.2,742.4,742.4,121385,163.46293159000004
ETHUSD,1,1609449180,742.4,742.8,742.4,742.8,89700,120.79441439000003
ETHUSD,1,1609449240,742.8,743.25,742.2,742.75,118470,159.51443231999997
ETHUSD,1,1609449300,742.75,742.75,742.2,742.6,27045,36.43000451999999
ETHUSD,1,1609449360,742.6,742.7,742.45,742.45,96567,130.06527784
ETHUSD,1,1609449420,742.45,743.5,742.45,743.5,79289,106.73478664000001
ETHUSD,1,1609449480,743.5,743.5,742.8,742.85,122054,164.30050733
ETHUSD,1,1609449540,742.85,743.45,742.8,743.05,152402,205.1117180599999
ETHUSD,1,1609449600,743.05,743.05,742.95,742.95,32686,43.99183355
ETHUSD,1,1609449660,742.95,743.1,742.95,743.05,30580,41.157777259999996
ETHUSD,1,1609449720,743.05,743.1,741.85,742.1,520313,700.92757092
ETHUSD,1,1609449780,742.1,742.4,742.1,742.1,435083,586.1954766099999
ETHUSD,1,1609449840,742.1,742.15,740.6,740.6,351974,474.7397762399999
ETHUSD,1,1609449900,740.6,741.2,740.6,741.2,161064,217.37313667999993
ETHUSD,1,1609449960,741.2,741.4,741.2,741.35,54245,73.16642766
ETHUSD,1,1609450020,741.35,741.4,740.85,741.2,344633,465.12394403
ETHUSD,1,1609450080,741.2,741.2,740.55,740.95,49730,67.12217478000002
ETHUSD,1,1609450140,740.95,740.95,740.75,740.8,57073,77.03246341000003
ETHUSD,1,1609450200,740.8,740.8,740.6,740.8,113884,153.73670298000002
ETHUSD,1,1609450260,740.8,741.65,740.8,741.6,38475,51.89819814000001
ETHUSD,1,1609450320,741.6,741.65,741.45,741.6,117282,158.15467031000003
ETHUSD,1,1609450380,741.6,741.6,741.5,741.55,47365,63.87301427
ETHUSD,1,1609450440,741.55,741.8,741.3,741.65,39960,53.88043223000001
ETHUSD,1,1609450500,741.65,741.65,741.3,741.35,9444,12.73845523
ETHUSD,1,1609450560,741.35,741.35,740.4,740.4,401704,542.4139233499999
ETHUSD,1,1609450620,740.4,740.4,739.6,740.15,366251,495.03545886
ETHUSD,1,1609450680,740.15,740.15,739.1,739.7,239261,323.54287325999996
ETHUSD,1,1609450740,739.7,740,739.65,739.65,28850,38.986967549999996
ETHUSD,1,1609450800,739.65,740.2,739.15,739.15,267322,361.3376116299998
ETHUSD,1,1609450860,739.15,740.3,739.15,740.3,185236,250.48796212
ETHUSD,1,1609450920,740.3,740.3,739.65,740.05,140254,189.56492272
ETHUSD,1,1609450980,740.05,740.05,739.9,739.95,9281,12.543229730000002
ETHUSD,1,1609451040,739.95,740.05,738.75,739.05,799304,1081.59565173
ETHUSD,1,1609451100,739.05,739.05,737.85,739,1398431,1894.049822299999
ETHUSD,1,1609451160,739,739.15,737.95,737.95,321533,435.12946411
ETHUSD,1,1609451220,737.95,737.95,737.55,737.9,226256,306.68224536
ETHUSD,1,1609451280,737.9,738.65,737.85,738.65,406581,550.8108854199999
ETHUSD,1,1609451340,738.65,739.1,738.35,739.1,71634,96.93219333
ETHUSD,1,1609451400,739.1,739.8,739.1,739.8,317002,428.65378732
ETHUSD,1,1609451460,739.8,739.8,739.5,739.7,28517,38.55468579
ETHUSD,1,1609451520,739.7,739.7,739.1,739.55,85659,115.88059641000001
ETHUSD,1,1609451580,739.55,739.55,738.75,738.8,170584,230.82685647000005
ETHUSD,1,1609451640,738.8,739.05,738.75,738.95,48547,65.69462564999999
ETHUSD,1,1609451700,738.95,738.95,738.9,738.9,41813,56.58776131
ETHUSD,1,1609451760,738.9,738.9,738.3,738.4,281889,381.68816153
ETHUSD,1,1609451820,738.4,738.45,738.4,738.4,28765,38.95550153
ETHUSD,1,1609451880,738.4,738.9,738.4,738.9,98248,132.98607177000002
ETHUSD,1,1609451940,738.9,738.95,738.9,738.9,141056,190.88757324999997
ETHUSD,1,1609452000,738.9,739.3,738.9,739.3,390457,528.18924329
ETHUSD,1,1609452060,739.3,739.4,739.3,739.4,71400,96.5703147
ETHUSD,1,1609452120,739.4,739.4,739.35,739.4,55230,74.69569927
ETHUSD,1,1609452180,739.4,739.4,738.6,738.6,88558,119.79301572
ETHUSD,1,1609452240,738.6,738.75,736.7,737.1,1229187,1666.9342440399987
ETHUSD,1,1609452300,737.1,737.6,737.05,737.3,119299,161.79268541
ETHUSD,1,1609452360,737.3,737.5,736.95,736.95,175987,238.7081615
ETHUSD,1,1609452420,736.95,737.4,736.9,737.4,49257,66.82725121000001
ETHUSD,1,1609452480,737.4,737.95,737.35,737.95,38143,51.7174991
ETHUSD,1,1609452540,737.95,738.95,737.95,738.9,107427,145.41311072999997
ETHUSD,1,1609452600,738.9,739.55,738.9,739.45,286403,387.3979243
ETHUSD,1,1609452660,739.45,739.6,739.4,739.6,141004,190.67977280000002
ETHUSD,1,1609452720,739.6,739.95,739.55,739.95,301207,407.10873453000005
ETHUSD,1,1609452780,739.95,740.25,739.9,740.2,341603,461.50291907999997
ETHUSD,1,1609452840,740.2,740.5,740.2,740.5,106836,144.30430573
ETHUSD,1,1609452900,740.5,740.5,740.45,740.45,683854,923.5046697199999
ETHUSD,1,1609452960,740.45,740.5,740.45,740.5,21891,29.56307995
ETHUSD,1,1609453020,740.5,740.5,740.45,740.5,40666,54.91787675000001
ETHUSD,1,1609453080,740.5,740.5,740.5,740.5,153964,207.91897354
ETHUSD,1,1609453140,740.5,740.5,740.45,740.45,12445,16.806684979999996
ETHUSD,1,1609453200,740.45,740.5,738.6,739.5,3205073,4334.7568453099975
ETHUSD,1,1609453260,739.5,739.55,739.5,739.55,10046,13.58423917
ETHUSD,1,1609453320,739.55,739.55,739.35,739.35,33710,45.58540182999998
ETHUSD,1,1609453380,739.35,740.25,739.35,740.2,396033,535.3276409599999
ETHUSD,1,1609453440,740.2,740.25,740.2,740.2,81020,109.45635356999998
