symbol,interval,open_time,open,high,low,close,volume,turnover
ETHUSD,1,1628451000,2991.1,3002.6,2991.1,3002.55,3788955,1263.5675600400023
ETHUSD,1,1628451060,3002.55,3003.85,2993.05,2993.1,3738428,1246.3673370399997
ETHUSD,1,1628451120,2993.1,2993.1,2989.7,2992.2,2998990,1002.7745923400003
ETHUSD,1,1628451180,2992.2,2993.7,2986.75,2993.65,2098125,701.6573390000002
ETHUSD,1,1628451240,2993.65,2995.55,2991.6,2995.55,2061756,688.8030730400003
ETHUSD,1,1628451300,2995.55,2996.5,2991.8,2995.85,649093,216.68060062999984
ETHUSD,1,1628451360,2995.85,2995.9,2993.85,2993.85,2002342,668.6155417499998
ETHUSD,1,1628451420,2993.85,2994.25,2993.6,2993.6,345182,115.29201105999996
ETHUSD,1,1628451480,2993.6,2993.65,2989.85,2990.05,1009176,337.3332264300001
ETHUSD,1,1628451540,2990.05,2991.9,2987.75,2987.8,200459,67.04566978000004
ETHUSD,1,1628451600,2987.8,2989.95,2987.1,2987.55,734607,245.85621730000008
ETHUSD,1,1628451660,2987.55,2987.55,2984.2,2984.2,272956,91.40675962999995
ETHUSD,1,1628451720,2984.2,2984.85,2983.75,2983.8,309622,103.74607486
ETHUSD,1,1628451780,2983.8,2984.75,2982.65,2984.4,870865,291.90385609
ETHUSD,1,1628451840,2984.4,2985,2977.65,2977.65,2072203,694.7759341800012
ETHUSD,1,1628451900,2977.65,2977.7,2970.5,2970.55,1967694,661.7242167700002
ETHUSD,1,1628451960,2970.55,2970.55,2966,2969.05,1893607,637.9225895500003
ETHUSD,1,1628452020,2969.05,2969.1,2962.6,2963,1998997,674.4970349200001
ETHUSD,1,1628452080,2963,2971.8,2963,2967.3,6746957,2273.7316952300002
ETHUSD,1,1628452140,2967.3,2976.55,2966,2975.2,2224612,747.9574550900003
ETHUSD,1,1628452200,2975.2,2975.75,2974,2974.3,3359924,1129.4864554700002
ETHUSD,1,1628452260,2974.3,2974.35,2969.3,2969.3,2443781,822.0652776300001
ETHUSD,1,1628452320,2969.3,2969.35,2968.25,2968.3,59042,19.88827373
ETHUSD,1,1628452380,2968.3,2970.75,2966.8,2966.8,1692241,570.1080370899998
ETHUSD,1,1628452440,2966.8,2974.3,2966.8,2972.95,4477246,1507.6752739199999
ETHUSD,1,1628452500,2972.95,2975.95,2972.3,2974.9,213153,71.66149920000002
ETHUSD,1,1628452560,2974.9,2987.45,2974.65,2987.4,1251278,419.5122664100002
ETHUSD,1,1628452620,2987.4,2987.45,2982.05,2982.05,4663739,1562.30721834
ETHUSD,1,1628452680,2982.05,2984.35,2981.95,2982.45,201202,67.45200084000001
ETHUSD,1,1628452740,2982.45,2987.8,2982.45,2987.8,913925,306.1369709300001
ETHUSD,1,1628452800,2987.8,2993.25,2980.05,2986.3,2607023,873.0278031800009
ETHUSD,1,1628452860,2986.3,2986.35,2976.2,2976.6,731968,245.72658303999992
ETHUSD,1,1628452920,2976.6,2976.8,2970.5,2972,608406,204.66033882000008
ETHUSD,1,1628452980,2972,2973.95,2970.7,2970.75,427698,143.85161571000006
ETHUSD,1,1628453040,2970.75,2970.75,2968.55,2969,329815,111.07425212999996
ETHUSD,1,1628453100,2969,2973.3,2968.25,2968.25,589228,198.38094956999996
ETHUSD,1,1628453160,2968.25,2971.5,2965.1,2971.5,1269166,427.57538514000004
ETHUSD,1,1628453220,2971.5,2980.4,2971.5,2975.35,2331609,783.3387865000004
ETHUSD,1,1628453280,2975.35,2975.35,2967.9,2971.95,547921,184.51310596000008
ETHUSD,1,1628453340,2971.95,2979.5,2971.95,2978.75,1275660,428.72084311999976
ETHUSD,1,1628453400,2978.75,2981.9,2977.8,2980.85,2639498,885.7739308000002
ETHUSD,1,1628453460,2980.85,2982.15,2980.1,2982.1,965568,323.96819276999986
ETHUSD,1,1628453520,2982.1,2982.55,2981.35,2981.35,1467657,492.17938274
ETHUSD,1,1628453580,2981.35,2984.8,2978.05,2983.35,3584220,1202.0335325000012
ETHUSD,1,1628453640,2983.35,2992,2983.35,2989.05,3106519,1038.8758585099993
ETHUSD,1,1628453700,2989.05,2997.5,2989,2996.9,2338625,781.0027593799998
ETHUSD,1,1628453760,2996.9,3009.2,2996.9,3007.95,12217183,4064.740719589999
ETHUSD,1,1628453820,3007.95,3013,3006.95,3012.95,4539363,1507.9760464000026
ETHUSD,1,1628453880,3012.95,3029.85,3011.55,3023.6,13939001,4611.107187270001
ETHUSD,1,1628453940,3023.6,3029.75,3021.3,3025.95,15163771,5011.960632719983
ETHUSD,1,1628454000,3025.95,3025.95,3017.85,3017.85,5781688,1913.4056853600016
ETHUSD,1,1628454060,3017.85,3018.1,3012.75,3015.05,6268029,2078.3481198600016
ETHUSD,1,1628454120,3015.05,3015.05,3007,3007,2717281,902.5855682099998
ETHUSD,1,1628454180,3007,3007.8,3004.85,3006.05,3347210,1113.4070679599993
ETHUSD,1,1628454240,3006.05,3006.05,3003.15,3003.2,705125,234.68450147999997
ETHUSD,1,1628454300,3003.2,3003.2,2998.15,2998.2,1733497,577.6465543500005
ETHUSD,1,1628454360,2998.2,2998.2,2993.1,2993.8,867400,289.64257036000043
ETHUSD,1,1628454420,2993.8,3005.4,2993.75,3000.15,5631097,1876.0904746300007
ETHUSD,1,1628454480,3000.15,3000.15,2995.4,2995.55,2377675,793.2931448100003
ETHUSD,1,1628454540,2995.55,2999.65,2994.15,2999.65,218673,72.99313147000002
ETHUSD,1,1628454600,2999.65,3002.85,2995.55,2995.6,5051395,1684.1311870100008
ETHUSD,1,1628454660,2995.6,2995.6,2993.15,2994.4,938380,313.4190957499999
ETHUSD,1,1628454720,2994.4,2997.35,2994.4,2995.6,638478,213.0724585200001
ETHUSD,1,1628454780,2995.6,2995.6,2993.65,2993.65,226430,75.61892558
ETHUSD,1,1628454840,2993.65,2993.7,2992.45,2993.05,726521,242.76515502000004
ETHUSD,1,1628454900,2993.05,2993.05,2986.6,2987.35,3867503,1293.5439328800005
ETHUSD,1,1628454960,2987.35,2987.35,2980.65,2982.2,8863979,2971.3927566499992
ETHUSD,1,1628455020,2982.2,2982.25,2975.45,2978.85,3067413,1030.0588827900003
ETHUSD,1,1628455080,2978.85,2982.25,2978.7,2982.25,2205382,740.0115168300001
ETHUSD,1,1628455140,2982.25,2982.5,2980.55,2982.5,2410538,808.5264456199999
ETHUSD,1,1628455200,2982.5,2984.25,2979.35,2979.45,535862,179.69171343999992
ETHUSD,1,1628455260,2979.45,2981.45,2979.25,2979.3,216967,72.79612642000002
ETHUSD,1,1628455320,2979.3,2984.3,2979.25,2984.05,2792852,936.2060891300002
ETHUSD,1,1628455380,2984.05,2984.05,2981.75,2983.45,2390156,801.2381879599997
ETHUSD,1,1628455440,2983.45,2983.5,2981.85,2981.9,1280112,429.1456170599999
ETHUSD,1,1628455500,2981.9,2982.2,2976.9,2976.95,593099,199.14164681999995
ETHUSD,1,1628455560,2976.95,2976.95,2975.1,2975.85,1542630,518.42176617
ETHUSD,1,1628455620,2975.85,2976.15,2975.25,2975.25,263335,88.49136562
ETHUSD,1,1628455680,2975.25,2978.35,2971.5,2978.35,3170499,1066.1294181
ETHUSD,1,1628455740,2978.35,2982.7,2978.35,2982.7,1366368,458.3320209599996
ETHUSD,1,1628455800,2982.7,2989.6,2982.7,2989.6,731828,245.0391676299998
ETHUSD,1,1628455860,2989.6,2996.2,2989.6,2996.2,2379828,794.89547056
ETHUSD,1,1628455920,2996.2,3004.05,2995.9,3003.35,9512567,3169.1474781
ETHUSD,1,1628455980,3003.35,3004.9,2999.95,3000.45,2944852,980.5443903300007
ETHUSD,1,1628456040,3000.45,3006.2,3000.45,3003.9,1468797,488.9836106199999
ETHUSD,1,1628456100,3003.9,3003.9,2994.25,2994.25,4723968,1574.8598828700005
ETHUSD,1,1628456160,2994.25,2994.3,2992.45,2992.65,225587,75.35420408999998
ETHUSD,1,1628456220,2992.65,2992.7,2987,2988,8662052,2898.316087399998
ETHUSD,1,1628456280,2988,2991.4,2984.4,2991.4,6496891,2174.8841000099987
ETHUSD,1,1628456340,2991.4,2993.2,2987.4,2991.1,2234035,746.7230133199992
ETHUSD,1,1628456400,2991.1,2996.15,2991.1,2996.1,2665105,890.5398792100024
ETHUSD,1,1628456460,2996.1,2998.55,2995.9,2998.5,749904,250.2095465600003
ETHUSD,1,1628456520,2998.5,2999.2,2998.5,2999.15,258123,86.07535733999993
ETHUSD,1,1628456580,2999.15,3009,2999.15,3009,1993787,663.5916166799998
ETHUSD,1,1628456640,3009,3009.25,3000.35,3004.35,706148,235.04401287
ETHUSD,1,1628456700,3004.35,3004.35,2998.5,3001.25,1132898,377.5886395399996
ETHUSD,1,1628456760,3001.25,3001.25,2996.45,2998.1,441606,147.34828186
ETHUSD,1,1628456820,2998.1,2998.15,2990.05,2990.1,1179822,394.0559617500002
ETHUSD,1,1628456880,2990.1,2998.05,2990.05,2998,863418,288.37865787999993
ETHUSD,1,1628456940,2998,2999,2998,2998.95,334515,111.549723
ETHUSD,1,1628457000,2998.95,3000.4,2989.8,2991.35,1178106,393.1897647899999
ETHUSD,1,1628457060,2991.35,2991.35,2982.95,2983.55,8205855,2748.9682080600023
ETHUSD,1,1628457120,2983.55,2996,2983.5,2995.6,4474121,1497.0398009599987
ETHUSD,1,1628457180,2995.6,2996,2993.15,2993.15,399574,133.38968235000002
ETHUSD,1,1628457240,2993.15,2995.3,2993.1,2995.3,561063,187.37793688999994
ETHUSD,1,1628457300,2995.3,2996.95,2995.3,2995.5,630362,210.37752599000018
ETHUSD,1,1628457360,2995.5,2996,2992.8,2994.7,743629,248.34889596000008
ETHUSD,1,1628457420,2994.7,2999,2994.7,2999,493977,164.82868449000011
ETHUSD,1,1628457480,2999,3007.75,2999,3007.7,3963074,1319.484294849999
ETHUSD,1,1628457540,3007.7,3007.7,3004.25,3004.3,2035677,677.3040563200003
ETHUSD,1,1628457600,3004.3,3004.3,3001,3001,1321737,440.16753450000004
ETHUSD,1,1628457660,3001,3002.4,3001,3002.4,1167662,388.95334211000016
ETHUSD,1,1628457720,3002.4,3002.4,3000.8,3000.8,783475,261.0239004100001
ETHUSD,1,1628457780,3000.8,3003.95,3000.8,3003.95,568433,189.31588857999992
ETHUSD,1,1628457840,3003.95,3005,3003.9,3005,534657,177.95865979999985
ETHUSD,1,1628457900,3005,3007.5,3004.95,3007.5,2101679,699.2137521200003
ETHUSD,1,1628457960,3007.5,3013.15,3007.45,3012.95,11025196,3661.121576290002
ETHUSD,1,1628458020,3012.95,3013.35,3012.9,3013.35,447534,148.53461958999998
ETHUSD,1,1628458080,3013.35,3018.45,3013.35,3018.45,1724287,571.8720310799997
ETHUSD,1,1628458140,3018.45,3025,3018.4,3024.35,8691308,2876.520115840004
ETHUSD,1,1628458200,3024.35,3026.7,3024.3,3026.7,2417103,799.1222885799999
ETHUSD,1,1628458260,3026.7,3026.75,3026.65,3026.7,4501746,1487.3389533000031
ETHUSD,1,1628458320,3026.7,3026.75,3020.4,3020.4,3785619,1251.7428677500016
ETHUSD,1,1628458380,3020.4,3020.4,3015.95,3018.1,2060149,682.6694526700016
ETHUSD,1,1628458440,3018.1,3018.1,3014.45,3014.5,302436,100.30839843
ETHUSD,1,1628458500,3014.5,3016.15,3014.45,3016.1,1240572,411.45873009999974
ETHUSD,1,1628458560,3016.1,3018.3,3016.1,3018.3,1645945,545.5378705100001
ETHUSD,1,1628458620,3018.3,3030.5,3018.25,3030.3,4244815,1404.547673260002
ETHUSD,1,1628458680,3030.3,3031.05,3028.75,3028.75,1135172,374.60262982999956
ETHUSD,1,1628458740,3028.75,3031.05,3024.75,3030.95,1805161,596.315767149999
ETHUSD,1,1628458800,3030.95,3031,3026.8,3026.8,911401,300.8723765999999
ETHUSD,1,1628458860,3026.8,3028.75,3026.7,3028.5,524175,173.11434555000002
ETHUSD,1,1628458920,3028.5,3028.5,3026.9,3026.95,408674,134.98030088999997
ETHUSD,1,1628458980,3026.95,3026.95,3026.8,3026.85,290325,95.91606149000002
ETHUSD,1,1628459040,3026.85,3029.95,3026.85,3029.95,508932,168.00460745000015
ETHUSD,1,1628459100,3029.95,3031.25,3025.25,3025.25,1288727,425.42897378000004
ETHUSD,1,1628459160,3025.25,3025.3,3023.55,3023.6,1033280,341.5738995999995
ETHUSD,1,1628459220,3023.6,3023.6,3021.6,3021.65,864682,286.03665427000004
ETHUSD,1,1628459280,3021.65,3026,3021.6,3026,565618,186.99820243999972
ETHUSD,1,1628459340,3026,3034.95,3025.95,3034.85,829767,273.7750799300001
ETHUSD,1,1628459400,3034.85,3034.85,3029.25,3031.25,295652,97.49989502000004
ETHUSD,1,1628459460,3031.25,3031.3,3027.15,3027.15,1345698,444.28797331999976
ETHUSD,1,1628459520,3027.15,3027.75,3027.1,3027.75,431510,142.54569776000005
ETHUSD,1,1628459580,3027.75,3031.85,3027.75,3031.85,261825,86.37551237999995
ETHUSD,1,1628459640,3031.85,3038.8,3031.85,3037.3,1425370,469.47730053
ETHUSD,1,1628459700,3037.3,3037.3,3033.3,3034,371222,122.30221702000001
ETHUSD,1,1628459760,3034,3036,3034,3034.15,311846,102.72677512999998
ETHUSD,1,1628459820,3034.15,3034.15,3030,3032.85,206174,67.99611835
ETHUSD,1,1628459880,3032.85,3035.8,3032.85,3035.55,406609,134.00253517
ETHUSD,1,1628459940,3035.55,3039.6,3035.55,3038.9,1941232,638.787824930001
ETHUSD,1,1628460000,3038.9,3040.5,3035,3037.45,965412,317.72442020999983
ETHUSD,1,1628460060,3037.45,3040,3037,3038.45,383039,126.06240291000006
ETHUSD,1,1628460120,3038.45,3038.5,3037,3037,366203,120.54523038999999
ETHUSD,1,1628460180,3037,3037.65,3035,3036.25,1211981,399.12158734000036
ETHUSD,1,1628460240,3036.25,3042.6,3036.2,3042.6,2771509,911.4210901299995
ETHUSD,1,1628460300,3042.6,3042.6,3040.75,3042,568826,186.96940974999995
ETHUSD,1,1628460360,3042,3046.75,3042,3046.75,2447808,804.0936050200002
ETHUSD,1,1628460420,3046.75,3047.3,3045,3047.3,607454,199.4169154000001
ETHUSD,1,1628460480,3047.3,3052.3,3047.3,3052.3,1669093,547.2323758400013
ETHUSD,1,1628460540,3052.3,3059.95,3052.3,3059.85,2057378,672.9732098499996
ETHUSD,1,1628460600,3059.85,3060.5,3054.5,3054.5,4275572,1398.243912229999
ETHUSD,1,1628460660,3054.5,3054.5,3052.6,3054.25,570592,186.85725180000023
ETHUSD,1,1628460720,3054.25,3060.15,3054.25,3056.75,1603529,524.2800976499998
ETHUSD,1,1628460780,3056.75,3059.2,3056.7,3059.15,2112486,690.9079920600008
